user,track_id,n_plays,avg_ms,skip_count,meaningful_pct,skip_rate,weight
riya,4292,2,25529.5,2,0.0,1.0,0.0
riya,4293,1,86123.0,1,0.0,1.0,0.0
riya,4294,2,905.5,2,0.0,1.0,0.0
riya,4295,3,2252.3333333333335,3,0.0,1.0,0.0
riya,4296,3,79638.66666666667,3,0.0,1.0,0.0
riya,4297,5,81900.0,1,0.6,0.2,1.0750556815368328
riya,4298,2,78588.0,1,0.5,0.5,0.5493061443340549
riya,4299,1,59048.0,1,0.0,1.0,0.0
riya,4300,1,216668.0,0,1.0,0.0,0.6931471805599453
riya,4301,5,4531.2,5,0.0,1.0,0.0
riya,4302,3,86177.66666666667,1,0.6666666666666666,0.3333333333333333,0.9241962407465937
riya,4303,4,74311.75,3,0.25,0.75,0.40235947810852507
riya,4304,2,18785.0,2,0.0,1.0,0.0
riya,4305,5,155172.0,2,0.6,0.4,1.0750556815368328
riya,4306,7,240880.2857142857,2,0.7142857142857143,0.2857142857142857,1.4853153869141684
riya,4307,1,14257.0,1,0.0,1.0,0.0
riya,4308,5,5675.8,5,0.0,1.0,0.0
riya,4309,2,121449.0,1,0.5,0.5,0.5493061443340549
riya,4310,4,171174.0,1,0.75,0.25,1.2070784343255752
riya,4311,5,48543.8,4,0.2,0.8,0.358351893845611
riya,4312,3,55092.0,2,0.3333333333333333,0.6666666666666666,0.46209812037329684
riya,4313,5,60310.2,3,0.4,0.6,0.716703787691222
riya,4314,4,35360.5,3,0.25,0.75,0.40235947810852507
riya,4315,2,39566.5,2,0.0,1.0,0.0
riya,4316,3,74398.66666666667,2,0.3333333333333333,0.6666666666666666,0.46209812037329684
riya,4317,4,60231.5,1,0.5,0.25,0.8047189562170501
riya,4318,5,88415.2,3,0.4,0.6,0.716703787691222
riya,4319,3,32812.0,2,0.3333333333333333,0.6666666666666666,0.46209812037329684
riya,4320,4,56762.0,3,0.25,0.75,0.40235947810852507
riya,4321,3,58086.0,2,0.3333333333333333,0.6666666666666666,0.46209812037329684
riya,4322,3,129831.0,3,0.0,1.0,0.0
riya,4323,3,9229.0,3,0.0,1.0,0.0
riya,4324,3,34717.666666666664,3,0.0,1.0,0.0
riya,4325,4,26175.75,4,0.0,1.0,0.0
riya,4326,4,17894.0,4,0.0,1.0,0.0
riya,4327,4,44293.75,3,0.25,0.75,0.40235947810852507
riya,4328,1,400.0,1,0.0,1.0,0.0
riya,4329,2,592.5,2,0.0,1.0,0.0
riya,4330,2,3859.5,2,0.0,1.0,0.0
riya,4331,4,323646.25,0,1.0,0.0,1.6094379124341003
riya,4332,3,89847.66666666667,2,0.3333333333333333,0.6666666666666666,0.46209812037329684
riya,4333,12,134226.41666666666,5,0.5833333333333334,0.4166666666666667,1.4962204585192298
riya,4334,16,147639.1875,1,0.9375,0.0625,2.6561375100527025
riya,4335,1,191060.0,1,0.0,1.0,0.0
riya,4336,1,241783.0,0,1.0,0.0,0.6931471805599453
riya,4337,1,103846.0,1,0.0,1.0,0.0
riya,4338,1,17879.0,1,0.0,1.0,0.0
riya,4339,3,77217.0,1,0.6666666666666666,0.3333333333333333,0.9241962407465937
riya,4340,5,104892.4,3,0.4,0.6,0.716703787691222
