spotify_track_uri,track_name,artist_name,album_name,tags,danceability,energy,valence,tempo,loudness,acousticness,instrumentalness,speechiness,liveness,key,mode,time_signature,track_id,artist_id
spotify:track:7DIMKlmJ0CL6eROkbptoqi,Sucka Free,"Tyler, The Creator",DON'T TAP THE GLASS,"['neo-soul', 'electro', 'freestyle', 'pop rap', 'synth funk', 'west coast hip hop', 'hiphop', 'hip hop']",,,,,,,,,,,,,65,1970
spotify:track:08vlprFBmwh9TQnjXUtZDG,FAMJAM4000,Jordan Ward,FORWARD,"['pop', 'r&b']",0.87,0.57,0.73,116.57,-7.38,0.47,0.34,0.06,0.15,11.0,0.0,4.0,66,949
spotify:track:6DB2B0oxQTHdV6Q5j7uxRV,TIPSY,pH-1,BUT FOR NOW LEAVE ME ALONE,"['korean', 'rap', 'hip-hop', 'south korea', 'k-rap', 'h1ghr music', 'hip hop', 'vocals']",,,,,,,,,,,,,67,2169
spotify:track:2uFxjq8W6lbVNJDg0EoRgd,Bad Rain (Feat. SUMIN),Devine Channel,Bad Rain (Feat. SUMIN),"['r&b', 'r&b, funk & soul', 'soul']",0.65,0.86,0.55,86.0,-3.72,0.32,0.0,0.05,0.61,7.0,0.0,4.0,68,507
spotify:track:7MsGEOoLRZz5Tp51pQy9cP,FOND,Hokage Simon,FOND,"['r&b', 'soul']",0.55,0.43,0.67,101.26,-10.04,0.63,0.0,0.42,0.14,5.0,0.0,3.0,69,786
spotify:track:4qSNsbWEBh2I9WOVXTJ76B,lost & confused,Chanpan,endlessly,['alternative'],0.63,0.6,0.74,120.2,-8.85,0.61,0.03,0.04,0.17,10.0,0.0,5.0,70,352
spotify:track:3KxG2Q6yCYNcKtlkUdKyuO,❥attack,Chanpan,air ride + ❥attack,"['alternative', 'pop', 'indie pop', 'rock', 'indie rock']",0.75,0.71,0.68,149.99,-7.42,0.26,0.11,0.08,0.15,0.0,1.0,4.0,71,352
spotify:track:0xsACxtkQkj3tCkmg0ZPUX,endlessly,Chanpan,endlessly,['alternative'],0.65,0.89,0.54,163.97,-5.46,0.17,0.77,0.09,0.15,4.0,0.0,4.0,72,352
spotify:track:4di5ecJU8Rl40CgNvsV98Z,City View,SUMIN,City View / Her,"['k-pop', 'rnb', 'korean', 'pop', 'electronic', 'female vocalists', 'jazz', 'alternative rnb']",,,,,,,,,,,,,73,1653
spotify:track:2WCL7R9yfJvJNu6e5dsPZ1,Blast (Intro),Terrace Martin,Hard Drives: Instrumentals V. 1,"['hip hop', 'hip-hop & rap']",0.87,0.4,0.25,80.01,-10.04,0.0,0.0,0.7,0.21,0.0,0.0,4.0,74,1855
spotify:track:0bJqgl2qi2a9DqZtfe1j9M,Neva Hafta Wurry Bout Dat,Terrace Martin,Hard Drives: Instrumentals V. 1,"['hip-hop', 'jazz', 'rap', 'west coast', 'g-funk', 'jazz hop', 'hip hop', 'los angeles']",,,,,,,,,,,,,75,1855
spotify:track:6bCOHUMBBMCoWyGq2SNP7e,Tik Tok,Terrace Martin,Hard Drives: Instrumentals V. 1,"['hip hop', 'hip-hop & rap']",0.85,0.26,0.31,128.9,-16.27,0.05,0.41,0.18,0.06,1.0,1.0,5.0,76,1855
spotify:track:7npPPrZEDmeHMk6mxvIeFa,My Jinji,落日飛車 Sunset Rollercoaster,JINJI KIKKO,"['alternative', 'pop', 'indie pop', 'rock', 'indie rock']",0.4,0.59,0.52,140.8,-8.75,0.53,0.45,0.03,0.14,7.0,1.0,4.0,77,2214
spotify:track:797UM3Am6ue2Hu23R4okNU,New Drug,落日飛車 Sunset Rollercoaster,JINJI KIKKO,"['alternative', 'pop', 'indie pop', 'rock', 'indie rock']",0.65,0.58,0.67,91.0,-9.1,0.56,0.78,0.03,0.34,5.0,0.0,4.0,78,2214
spotify:track:4kMPWlA17FZUnXvbQC9xlD,Do Nothing,HYUKOH,AAA,"['alternative', 'asian', 'rock']",0.64,0.59,0.8,94.0,-10.59,0.49,0.06,0.03,0.1,6.0,1.0,4.0,79,758
spotify:track:7h7p7gSIBzqTxEEoAR2lwL,Glue,HYUKOH,AAA,"['korean', 'rock', 'indie', 'indie rock', 'k-indie', 'k-rock', 'indie pop', 'highgrnd']",,,,,,,,,,,,,80,758
spotify:track:3e9z7v3fc6KBXACJwj0St1,Y,HYUKOH,AAA,"['alternative', 'asian', 'rock']",0.46,0.63,0.09,171.94,-6.32,0.01,0.72,0.03,0.11,0.0,1.0,4.0,81,758
spotify:track:7JIUgG3oXrXpFeuJM7bP3d,Sin City (duet with. Tiyon),SAAY,S:INEMA,"['r&b', 'r&b, funk & soul']",0.61,0.68,0.52,111.0,-5.03,0.28,0.0,0.14,0.11,11.0,0.0,4.0,82,1627
spotify:track:41qLzxymjkp0R5vl3REb1S,Be Natural,Red Velvet,Be Natural - The 2nd Single,"['pop', 'k-pop']",0.58,0.87,0.77,178.0,-1.2,0.12,0.0,0.32,0.3,10.0,0.0,4.0,83,1579
spotify:track:0Djjqpzedc9JvTjypQ0uEx,Tyrese,Terrace Martin,Come As You Are (Deluxe),"['r&b', 'r&b, funk & soul', 'soul']",0.76,0.37,0.46,99.74,-8.47,0.08,0.0,0.06,0.23,10.0,0.0,4.0,84,1855
spotify:track:1gSDTZHemEViEBiXysrlo0,Can I Kick It?,A Tribe Called Quest,People's Instinctive Travels and the Paths of Rhythm (25th Anniversary Edition),"['hip-hop', 'hip hop', 'rap', 'jazz hop', 'old school', 'a tribe called quest', 'classic', 'jazzy']",,,,,,,,,,,,,85,40
spotify:track:5guHbNpOGPkt37KxEw9hm1,Che' Nobe (Behind The Scenes),Dok2,Behind The Scenes,"['hip hop', 'hip-hop & rap', 'pop', 'k-pop']",0.6,0.8,0.45,102.4,-5.3,0.15,0.0,0.3,0.36,6.0,0.0,4.0,86,520
spotify:track:1ew2tHNanpNqx9cV15hGYM,Softly Softly,Sweetback,Sweetback,"['pop', 'r&b', 'r&b, funk & soul', 'rock']",0.59,0.4,0.19,141.81,-12.89,0.68,0.06,0.04,0.16,0.0,0.0,4.0,87,1800
spotify:track:0U8p5E6FrnFbZUZwvxSNKP,Gaze,Sweetback,Sweetback,"['pop', 'r&b', 'r&b, funk & soul', 'rock']",0.68,0.23,0.43,85.86,-15.26,0.03,0.88,0.06,0.06,0.0,1.0,4.0,88,1800
spotify:track:6l0VprKifR9sXJfZ8wQs4Y,Sensations,Sweetback,Sweetback,"['pop', 'r&b', 'r&b, funk & soul', 'rock']",0.71,0.28,0.44,161.74,-12.18,0.05,0.84,0.09,0.11,6.0,1.0,4.0,89,1800
spotify:track:4Sk54UA6ZeoCMcWSuPtcXE,Au Natural,Sweetback,Sweetback,"['pop', 'r&b', 'r&b, funk & soul', 'rock']",0.76,0.44,0.75,173.73,-13.12,0.07,0.23,0.25,0.06,11.0,0.0,4.0,90,1800
spotify:track:0yVJJiOpOkXd9b8fIM6Mny,"Lookin 4 (Feat. Joyce Wrice, Devin Morrison)",Crush,NAPPA,"['asian', 'pop', 'k-pop', 'r&b', 'r&b, funk & soul', 'soul']",0.71,0.46,0.45,123.78,-7.46,0.63,0.0,0.3,0.16,10.0,0.0,4.0,91,433
spotify:track:0IQ3KOas5wGRregqoMb9HF,Yamz,Masego,Yamz,"['r&b', 'r&b, funk & soul']",0.68,0.73,0.59,77.05,-6.39,0.0,0.0,0.04,0.02,6.0,1.0,4.0,92,1256
spotify:track:05VGngpkeI88rAHWoeAo3g,With You,Devin Morrison,Bussin',"['hip hop', 'hip-hop & rap', 'r&b', 'r&b, funk & soul', 'soul', 'spirituals', 'christian']",0.75,0.42,0.62,87.97,-8.16,0.03,0.0,0.04,0.09,1.0,1.0,4.0,93,506
spotify:track:35btHqeeA6qR7ToMRNKI3D,Nu Beginning,Devin Morrison,Nu Beginning,"['jazz', 'r&b', 'r&b, funk & soul', 'soul']",0.58,0.59,0.17,90.02,-13.77,0.1,0.0,0.07,0.09,6.0,0.0,4.0,94,506
